native_timeframe,direction_class,hypothesis,state,window_sec,horizon_sec,native_agreement,n,match_pct,signed_mean_bps,signed_median_bps
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,300,SAME_DIRECTION,30,56.666666666666664,6.776251760666664,3.858789215
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,300,STALE,10,60.0,1.7120947430000002,6.231382545000001
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,600,MISSING,36,41.666666666666664,-4.606419683055556,-1.54491712
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,600,NATIVE_STALLED,5,20.0,-1.290375016,-1.33682774
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,600,OPPOSITE_DIRECTION,30,76.66666666666667,7.620876979333334,6.833692790000001
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,600,SAME_DIRECTION,25,52.0,12.7310014544,5.15143828
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,600,STALE,10,60.0,8.351052369000001,10.952142215
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,60,MISSING,25,40.0,-0.4921273844000001,-0.84465296
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,60,NATIVE_STALLED,2,0.0,-2.56560166,-2.56560166
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,60,OPPOSITE_DIRECTION,21,47.61904761904762,0.023198339047619088,-0.19988653
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,60,SAME_DIRECTION,9,66.66666666666667,2.342495905555556,2.3656888
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,60,STALE,6,33.333333333333336,1.7419711850000004,-0.054695284999999996
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,180,MISSING,25,36.0,-0.9814698568000003,-1.52067192
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,180,NATIVE_STALLED,2,0.0,-5.84646196,-5.84646196
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,180,OPPOSITE_DIRECTION,19,57.89473684210526,0.13202757736842088,0.31344376
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,180,SAME_DIRECTION,9,66.66666666666667,5.596212380000001,0.50070255
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,180,STALE,4,75.0,6.770272545,8.181026885
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,300,MISSING,25,52.0,0.4019920644000001,0.26110503
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,300,NATIVE_STALLED,2,0.0,-2.05248133,-2.05248133
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,300,OPPOSITE_DIRECTION,17,52.94117647058823,0.21279282705882357,1.01480852
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,300,SAME_DIRECTION,9,44.44444444444444,2.224133425555555,-1.40822592
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,300,STALE,4,75.0,10.8561832675,14.41496933
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,600,MISSING,25,36.0,0.02143389759999998,-0.86504389
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,600,NATIVE_STALLED,2,0.0,-4.28377731,-4.28377731
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,600,OPPOSITE_DIRECTION,14,78.57142857142857,4.2619091749999995,5.413388055
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,600,SAME_DIRECTION,9,44.44444444444444,1.3490699322222226,-7.2167166
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,600,STALE,4,75.0,12.0177636175,16.34662499
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,60,MISSING,17,58.8235294117647,0.4847482841176472,0.50686495
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,60,NATIVE_STALLED,4,50.0,-0.6108614125,0.33397188999999994
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,60,OPPOSITE_DIRECTION,15,33.333333333333336,-0.25255431666666667,-0.54530299
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,60,SAME_DIRECTION,12,83.33333333333333,4.604317979166667,4.40238147
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,60,STALE,5,60.0,-0.1590768959999999,0.82766849
