source_dataset,direction_class,hypothesis,state,window_sec,horizon_sec,jst_hour,n,match_pct,flat_pct,signed_mean_bps,signed_median_bps
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,4,44,54.54545454545455,0.0,0.9562906279545456,0.496599745
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,5,46,47.82608695652174,4.3478260869565215,1.434426811086957,0.0
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,6,34,55.88235294117647,0.0,0.5558413785294122,0.391474075
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,7,38,63.1578947368421,0.0,1.9577924855263158,1.396764235
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,8,17,5.882352941176471,0.0,-2.8232647694117645,-2.53145913
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,9,17,82.3529411764706,0.0,3.9809671423529416,3.52733686
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,10,34,50.0,0.0,1.5447608952941176,0.760988965
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,11,21,66.66666666666667,0.0,2.7521007838095235,2.4775825
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,12,30,73.33333333333333,0.0,2.869655633666665,3.1043560550000002
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,13,12,41.666666666666664,0.0,-1.7476251258333333,-3.28117453
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,14,3,33.333333333333336,0.0,-1.22224204,-1.98441841
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,15,7,42.857142857142854,0.0,0.6572784100000001,-0.01562112
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,16,7,0.0,0.0,-1.1384115914285713,-1.14065886
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,17,9,55.55555555555556,0.0,1.7215034811111112,0.64122715
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,18,25,36.0,0.0,-0.4838412292000001,-1.09668535
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,19,10,60.0,0.0,0.9563401590000001,0.804884785
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,20,9,22.22222222222222,0.0,-0.5376712077777778,-0.82756252
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,21,34,32.35294117647059,0.0,-3.55299348,-1.76947617
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,22,45,46.666666666666664,0.0,-0.6684837519999995,-0.24885256
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,23,65,47.69230769230769,0.0,0.14102681461538477,-0.79890722
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,300,0,29,55.172413793103445,0.0,2.7614219762068966,1.88652182
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,300,1,40,50.0,2.5,0.67630099175,0.82596845
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,300,2,84,52.38095238095238,0.0,0.3205742589285713,0.49642129
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,300,3,76,47.36842105263158,0.0,0.6916445219736835,-0.39445278000000006
