source_dataset,direction_class,hypothesis,state,window_sec,horizon_sec,oi_context,n,match_pct,signed_mean_bps,signed_median_bps
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,180,UNWINDING,131,40.458015267175576,-0.41876430564885503,-0.60970653
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,300,BUILDING,128,48.4375,-0.032002233359375104,-0.023429764999999998
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,300,STALE,1,0.0,-6.17582174,-6.17582174
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,300,UNWINDING,129,52.713178294573645,-0.23604998651162787,0.09357601
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,600,BUILDING,112,39.285714285714285,-1.4033703308035708,-1.88260966
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,600,STALE,1,0.0,-8.7086904,-8.7086904
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,600,UNWINDING,127,47.24409448818898,-1.1226108008661417,-0.43696404
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,900,60,BUILDING,57,56.14035087719298,0.254448247894737,0.0779884
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,900,60,STALE,2,0.0,-1.70820369,-1.70820369
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,900,60,UNWINDING,50,44.0,-0.17073199640000003,-0.0
